Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brazil,BRA,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,142158.0094,138766.5608,155364.6244,154582.5532,155152.2696,155224.8624,161604.1186,158988.811,158633.4162,167141.9718,162655.3136,169525.9718,178417.7256,..,..
Brazil,BRA,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.56505634,27.65129562,27.73753491,27.82377419,27.91001347,27.99625275,28.08249204,28.16873132,28.2549706,28.34106631,28.41562848,28.4901295,28.56461856,28.63909446,..
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,373633.1,350000.9,397931.1,418295.4,454232.9,486844.7,511618,485344.1,447077.3,455684.8,433838.8,434318,414138.8,..,..
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.987284203,0.953147865,0.939418022,0.92858963,0.900343361,0.86834615,0.857834829,0.845992601,0.811256478,0.7922634,0.793768154,0.766107802,0.665176682,0.528590453,0.459583548
India,IND,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,196473.8138,199788.587,206797.1894,213727.388,210728.1074,210154.07,211543.6738,214799.7708,213318.1148,216343.977,221902.0048,229906.1358,239729.2886,..,..
India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.45930465,60.56390611,60.39741826,60.43004315,60.42062566,60.43946065,60.44955082,60.43172485,60.39909996,60.2839388,60.24356466,60.21981337,60.04586286,60.04592643,..
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,1424383,1564881.1,1659983,1756744,1909442,1972429.4,2147107,2158023.2,2195248.5,2308804.4,2458175.9,2423951.4,2200836.3,..,..
India,IND,Population growth (annual %),SP.POP.GROW,1.422391509,1.39119493,1.377595812,1.361588085,1.33219205,1.297548835,1.240362184,1.18779532,1.185046229,1.155624491,1.087527722,1.025310772,0.955220858,0.797216094,0.680372581
Poland,POL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,19545.373,19020.3268,19573.2956,19324.3762,19686.3866,19136.2488,18822.8124,18965.7332,19705.399,20163.127,18833.5404,19250.1742,18800.4922,..,..
Poland,POL,Agricultural land (% of land area),AG.LND.AGRI.ZS,50.93372511,50.99582082,47.17578686,48.26111093,47.44628045,47.05920773,47.10800483,46.9349097,46.94470753,47.23211078,47.3985041,47.44372938,48.12661288,47.36837635,..
Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,308325.3,297260.3,313739.1,310593.6,303351.4,298304.4,285730,289077.4,299802.4,312769.9,311754.9,294948.3,279223.8,..,..
Poland,POL,Population growth (annual %),SP.POP.GROW,0.01363738,0.067763227,-0.285609122,0.053769709,-0.000239076,-0.060360017,-0.074846229,-0.066641101,-0.042985131,0.012480099,-0.000200133,-0.024427107,-0.175062058,-0.401728617,-2.482061133
Russian Federation,RUS,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,47409.8034,45191.9384,43007.3302,45346.9282,44076.2562,44309.8286,46616.0208,45861.0974,48147.5024,48808.3472,48805.695,50709.0806,52935.1108,..,..
Russian Federation,RUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,13.15843626,..
Russian Federation,RUS,CO2 emissions (kt),EN.ATM.CO2E.KT,1655191.1,1546666.4,1617827.5,1699083.2,1675755.9,1632679.7,1611960.7,1592559.4,1571517.3,1594550.3,1661000,1703588.7,1618271,..,..
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,-0.043949259,0.030107761,0.044895788,0.077981777,0.168305035,0.212950705,0.217642262,0.192557947,0.170245239,0.106870569,-0.013066892,-0.049568665,-0.230950389,0.039793394,0.07383012
China,CHN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,343003.6024,346463.7996,349602.0674,348879.5366,352890.4378,353509.7414,354143.7364,358003.641,356523.8326,349023.7686,339815.3004,326524.8282,323175.5764,..,..
China,CHN,Agricultural land (% of land area),AG.LND.AGRI.ZS,56.20067197,56.26392504,56.18347308,56.10366022,56.02352781,55.94339539,55.86326298,55.78313057,55.70300409,55.62287167,55.54273924,55.46264943,55.46264943,55.46264943,..
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,7199604.7,7719071.4,8474922.7,9282553.7,9540539.7,9979128,10021043.4,9859281.2,9860914,10089273.2,10567262,10762824,10944686.2,..,..
China,CHN,Population growth (annual %),SP.POP.GROW,0.512386932,0.497381401,0.482959689,0.546457595,0.678345459,0.666072978,0.63032639,0.581456147,0.573050906,0.605245013,0.467672053,0.35474089,0.23804087,0.0892522,-0.013099501
